"Key","Language","Translation"
"gpxstudio","es","Para crear y editar tus rutas, utiliza <a href=""https://gpx.studio/"" target=""_blank"">GPX Studio</a>. ¡Es gratuito!!!"
"gpxstudio","en","To create and edit your routes, use <a href=""https://gpx.studio/"" target=""_blank"">GPX Studio</a>. It's free!!!"
"gpxstudio","ca","Per crear i editar les teves rutes, utilitza <a href=""https://gpx.studio/"" target=""_blank"">GPX Studio</a>. És gratuït!!!"
"Sabías qué...","es","¿Sabías que...?"
"Sabías qué...","en","Did you know that...?"
"Sabías qué...","ca","Sabies que..."
"GPSSignal","es","La cobertura GPS puede ser limitada en zonas montañosas o bosques densos."
"GPSSignal","en","GPS coverage may be limited in mountainous areas or dense forests."
"GPSSignal","ca","La cobertura GPS pot ser limitada en zones muntanyoses o boscos densos."
"GPSSignal2","es","En áreas urbanas con edificios altos, la señal GPS puede verse afectada."
"GPSSignal2","en","In urban areas with tall buildings, the GPS signal may be affected."
"GPSSignal2","ca","En àrees urbanes amb edificis alts, el senyal GPS pot veure's afectat."
"GPSSignal3","es","Para obtener una mejor precisión, espera unos minutos después de activar el GPS."
"GPSSignal3","en","To achieve better accuracy, wait a few minutes after activating GPS."
"GPSSignal3","ca","Per obtenir una millor precisió, espera uns minuts després d'activar el GPS."
"Battery","es","Asegúrate de que tu dispositivo tenga suficiente batería antes de iniciar la ruta."
"Battery","en","Ensure your device has enough battery before starting the route."
"Battery","ca","Assegura't que el teu dispositiu tingui prou bateria abans d'iniciar la ruta."
"GPSSignal4","es","El clima puede afectar la precisión del GPS; tenlo en cuenta."
"GPSSignal4","en","Weather can affect GPS accuracy; keep this in mind."
"GPSSignal4","ca","El clima pot afectar la precisió del GPS; tingues-ho en compte."
"GPSSignal5","es","Evita confiar únicamente en el GPS; presta atención al entorno."
"GPSSignal5","en","Avoid relying solely on GPS; pay attention to your surroundings."
"GPSSignal5","ca","Evita confiar únicament en el GPS; presta atenció a l'entorn."
"GPSSignal6","es","En áreas remotas, considera llevar un dispositivo GPS dedicado."
"GPSSignal6","en","In remote areas, consider carrying a dedicated GPS device."
"GPSSignal6","ca","En zones remotes, considera portar un dispositiu GPS dedicat."
"InformToAll","es","Recuerda informar a alguien sobre tu ruta antes de salir."
"InformToAll","en","Remember to inform someone about your route before leaving."
"InformToAll","ca","Recorda informar algú sobre la teva ruta abans de sortir."
"GetWater","es","Lleva contigo equipo de emergencia y suficiente agua."
"GetWater","en","Carry emergency equipment and enough water with you."
"GetWater","ca","Porta equip d'emergència i prou aigua amb tu."
"CheckWeatherNew","es","Verifica las condiciones meteorológicas antes de iniciar tu ruta."
"CheckWeatherNew","en","Check the weather conditions before starting your route."
"CheckWeatherNew","ca","Verifica les condicions meteorològiques abans d'iniciar la teva ruta."
"SaveNature","es","Sé consciente de tu entorno y respeta la naturaleza."
"SaveNature","en","Be aware of your surroundings and respect nature."
"SaveNature","ca","Sigues conscient del teu entorn i respecta la natura."
"Settings","es","Para cambiar la configuración de la aplicación, pulsa el botón <i class='bi bi-gear-fill'></i> en la pantalla de inicio. Desde la pantalla de configuración podrás configurar el idioma."
"Settings","en","To change the application's settings, tap the <i class='bi bi-gear-fill'></i> button on the home screen. From the settings screen, you can configure the language."
"Settings","ca","Per canviar la configuració de l'aplicació, prem el botó <i class='bi bi-gear-fill'></i> a la pantalla d'inici. Des de la pantalla de configuració podràs configurar l'idioma."
"FollowRoute","es","Para seguir una ruta que ya has cargado, selecciona la opción <i class='bi bi-geo-alt-fill'></i> Seguir Ruta; podrás ver tu ubicación actual en tiempo real con un marcador <i class='bi bi-geo-alt-fill text-success'></i>. Cuando quieras parar, vuelve a apretar el botón <i class='bi bi-geo-alt-fill'></i>."
"FollowRoute","en","To follow a route you've already loaded, select the <i class='bi bi-geo-alt-fill'></i> Follow Route option; you can see your current location in real-time with a <i class='bi bi-geo-alt-fill text-success'></i> marker. When you want to stop, press the <i class='bi bi-geo-alt-fill'></i> button again."
"FollowRoute","ca","Per seguir una ruta que ja has carregat, selecciona l'opció <i class='bi bi-geo-alt-fill'></i> Seguir Ruta; podràs veure la teva ubicació actual en temps real amb un marcador <i class='bi bi-geo-alt-fill text-success'></i>. Quan vulguis parar, prem de nou el botó <i class='bi bi-geo-alt-fill'></i>."
